"_prepare"	"acc"	"accuracy"	"average_response_time"	"avg_rt"	"background"	"bidi"	"canvas_backend"	"clock_backend"	"color_backend"	"compensation"	"confidence_immediate"	"coordinates"	"correct"	"correct_live_view"	"count_admin_check"	"count_check_confidence_imm"	"count_check_identification"	"count_check_made_identification"	"count_check_multiple_identification"	"count_check_proceeding_identification"	"count_confidence_imm"	"count_end_of_experiment"	"count_experiment"	"count_identification_task"	"count_instructions"	"count_instructions_after_multiple"	"count_instructions_after_proceed_identification"	"count_instructions_before_view"	"count_instructions_sequence"	"count_lineup_loop"	"count_lineup_sequence"	"count_live_lineup"	"count_live_view"	"count_logger"	"count_made_identification"	"count_multiple_identification"	"count_proceed_identification"	"count_repeat_lineup_sequence_identification"	"count_repeat_lineup_sequence_multiple"	"count_setting_sequence"	"cursor_x"	"cursor_y"	"datetime"	"description"	"disable_garbage_collection"	"empty_column"	"experiment_file"	"experiment_path"	"font_bold"	"font_family"	"font_italic"	"font_size"	"font_underline"	"foreground"	"form_clicks"	"form_response"	"fullscreen"	"height"	"identification"	"identification_made"	"identification_multiple"	"identification_proceed"	"keyboard_backend"	"live_row"	"live_row_instructions"	"live_row_lineup_loop"	"live_row_live_lineup"	"logfile"	"member"	"mouse_backend"	"opensesame_codename"	"opensesame_version"	"repeat_cycle"	"response"	"response_live_view"	"response_time"	"response_time_live_view"	"round_decimals"	"sampler_backend"	"sound_buf_size"	"sound_channels"	"sound_freq"	"sound_sample_size"	"start"	"subject_nr"	"subject_parity"	"synth_backend"	"time_admin_check"	"time_check_confidence_imm"	"time_check_identification"	"time_check_made_identification"	"time_check_multiple_identification"	"time_check_proceeding_identification"	"time_confidence_imm"	"time_end_of_experiment"	"time_experiment"	"time_identification_task"	"time_instructions"	"time_instructions_after_multiple"	"time_instructions_after_proceed_identification"	"time_instructions_before_view"	"time_instructions_sequence"	"time_lineup_loop"	"time_lineup_sequence"	"time_live_lineup"	"time_live_view"	"time_logger"	"time_made_identification"	"time_multiple_identification"	"time_proceed_identification"	"time_repeat_lineup_sequence_identification"	"time_repeat_lineup_sequence_multiple"	"time_setting_sequence"	"title"	"total_correct"	"total_response_time"	"total_responses"	"transparent_variables"	"uniform_coordinates"	"width"
"51"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"2"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"2"	"394"	"221"	"02/14/18 15:36:02"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"2"	"0"	"2"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-60.csv"	"3"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"4628"	"4628"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"60"	"even"	"legacy"	NA	NA	"89218"	NA	NA	NA	NA	NA	"1629"	"86175"	"1629"	NA	NA	"1633"	"1633"	"54532"	"54532"	"54514"	"81546"	"89218"	NA	NA	NA	NA	NA	"81545"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"52"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"3"	"3"	"0"	"0"	"0"	"3"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"3"	"414"	"582"	"02/14/18 15:36:02"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"3"	"0"	"3"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-60.csv"	"4"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"12247"	"12247"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"60"	"even"	"legacy"	NA	NA	"104790"	NA	NA	NA	NA	NA	"1629"	"101599"	"1629"	NA	NA	"1633"	"1633"	"54532"	"54532"	"54514"	"89351"	"104790"	NA	NA	NA	NA	NA	"89350"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"53"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"4"	"4"	"0"	"0"	"0"	"4"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"4"	"539"	"134"	"02/14/18 15:36:02"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"4"	"0"	"4"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-60.csv"	"5"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"4173"	"4173"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"60"	"even"	"legacy"	NA	NA	"111652"	NA	NA	NA	NA	NA	"1629"	"109094"	"1629"	NA	NA	"1633"	"1633"	"54532"	"54532"	"54514"	"104921"	"111652"	NA	NA	NA	NA	NA	"104920"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"54"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"5"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"5"	"498"	"439"	"02/14/18 15:36:02"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"5"	"0"	"5"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-60.csv"	"6"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"6635"	"6635"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"60"	"even"	"legacy"	NA	NA	"121141"	NA	NA	NA	NA	NA	"1629"	"118422"	"1629"	NA	NA	"1633"	"1633"	"54532"	"54532"	"54514"	"111786"	"121142"	NA	NA	NA	NA	NA	"111785"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"55"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"5"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"5"	"498"	"439"	"02/14/18 15:36:02"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"No"	"no"	"No"	"legacy"	"5"	"0"	"5"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-60.csv"	"6"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"6635"	"6635"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"60"	"even"	"legacy"	"124541"	NA	"121141"	"124541"	NA	"146266"	NA	NA	"1629"	"118422"	"1629"	NA	NA	"1633"	"1633"	"54532"	"54532"	"54514"	"111786"	"146267"	"121177"	NA	"128190"	NA	NA	"111785"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"56"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"5"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"5"	"498"	"439"	"02/14/18 15:36:02"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Click to end"	"yes"	"768"	"No"	"No"	"no"	"No"	"legacy"	"5"	"0"	"5"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-60.csv"	"6"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"6635"	"6635"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"60"	"even"	"legacy"	"124541"	NA	"121141"	"124541"	NA	"146266"	NA	"146296"	"1629"	"118422"	"1629"	NA	NA	"1633"	"1633"	"54532"	"54532"	"54514"	"111786"	"147358"	"121177"	NA	"128190"	NA	NA	"111785"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"57"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"324"	"614"	"02/14/18 15:01:05"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"0"	"0"	"0"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-75.csv"	"1"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"8811"	"8811"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"75"	"odd"	"legacy"	NA	NA	"82281"	NA	NA	NA	NA	NA	"1543"	"72420"	"1543"	NA	NA	"1547"	"1547"	"63512"	"63512"	"63494"	"63608"	"82282"	NA	NA	NA	NA	NA	"63607"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"58"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"615"	"743"	"02/14/18 15:01:05"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"1"	"0"	"1"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-75.csv"	"2"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"7"	"7"	"5204"	"5204"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"75"	"odd"	"legacy"	NA	NA	"103346"	NA	NA	NA	NA	NA	"1543"	"87620"	"1543"	NA	NA	"1547"	"1547"	"63512"	"63512"	"63494"	"82415"	"103346"	NA	NA	NA	NA	NA	"82414"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"59"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"2"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"2"	"811"	"629"	"02/14/18 15:01:05"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"2"	"0"	"2"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-75.csv"	"3"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"9167"	"9167"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"75"	"odd"	"legacy"	NA	NA	"117386"	NA	NA	NA	NA	NA	"1543"	"112651"	"1543"	NA	NA	"1547"	"1547"	"63512"	"63512"	"63494"	"103484"	"117387"	NA	NA	NA	NA	NA	"103483"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"60"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"3"	"3"	"0"	"0"	"0"	"3"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"3"	"794"	"447"	"02/14/18 15:01:05"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"3"	"0"	"3"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-75.csv"	"4"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"5488"	"5488"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"75"	"odd"	"legacy"	NA	NA	"126997"	NA	NA	NA	NA	NA	"1543"	"123003"	"1543"	NA	NA	"1547"	"1547"	"63512"	"63512"	"63494"	"117515"	"126997"	NA	NA	NA	NA	NA	"117514"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"61"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"4"	"4"	"0"	"0"	"0"	"4"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"4"	"836"	"547"	"02/14/18 15:01:05"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"4"	"0"	"4"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-75.csv"	"5"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"7429"	"7429"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"75"	"odd"	"legacy"	NA	NA	"139796"	NA	NA	NA	NA	NA	"1543"	"134555"	"1543"	NA	NA	"1547"	"1547"	"63512"	"63512"	"63494"	"127125"	"139797"	NA	NA	NA	NA	NA	"127124"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"62"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"5"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"5"	"557"	"657"	"02/14/18 15:01:05"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"5"	"0"	"5"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-75.csv"	"6"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"4580"	"4580"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"75"	"odd"	"legacy"	NA	NA	"149107"	NA	NA	NA	NA	NA	"1543"	"144507"	"1543"	NA	NA	"1547"	"1547"	"63512"	"63512"	"63494"	"139927"	"149107"	NA	NA	NA	NA	NA	"139926"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"63"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"5"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"5"	"557"	"657"	"02/14/18 15:01:05"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"No"	"no"	"No"	"legacy"	"5"	"0"	"5"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-75.csv"	"6"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"4580"	"4580"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"75"	"odd"	"legacy"	"153162"	NA	"149107"	"153162"	NA	"187993"	NA	NA	"1543"	"144507"	"1543"	NA	NA	"1547"	"1547"	"63512"	"63512"	"63494"	"139927"	"187993"	"149141"	NA	"156939"	NA	NA	"139926"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"64"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"5"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"5"	"557"	"657"	"02/14/18 15:01:05"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Click to end"	"yes"	"768"	"No"	"No"	"no"	"No"	"legacy"	"5"	"0"	"5"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-75.csv"	"6"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"4580"	"4580"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"75"	"odd"	"legacy"	"153162"	NA	"149107"	"153162"	NA	"187993"	NA	"188022"	"1543"	"144507"	"1543"	NA	NA	"1547"	"1547"	"63512"	"63512"	"63494"	"139927"	"190668"	"149141"	NA	"156939"	NA	NA	"139926"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"65"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"633"	"95"	"02/14/18 15:26:59"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"Not sure"	"no"	"no"	"no"	"legacy"	"0"	"0"	"0"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-84.csv"	"1"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"12316"	"12316"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"84"	"even"	"legacy"	NA	NA	"50345"	NA	NA	NA	NA	NA	"1584"	"46823"	"1584"	NA	NA	"1588"	"1588"	"34409"	"34409"	"34391"	"34507"	"50345"	NA	NA	NA	NA	NA	"34506"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"66"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"162"	"709"	"02/14/18 15:26:59"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"1"	"0"	"1"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-84.csv"	"2"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"6013"	"6013"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"84"	"even"	"legacy"	NA	NA	"58742"	NA	NA	NA	NA	NA	"1584"	"56488"	"1584"	NA	NA	"1588"	"1588"	"34409"	"34409"	"34391"	"50474"	"58742"	NA	NA	NA	NA	NA	"50473"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"67"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"2"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"2"	"191"	"364"	"02/14/18 15:26:59"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"2"	"0"	"2"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-84.csv"	"3"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"6263"	"6263"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"84"	"even"	"legacy"	NA	NA	"67205"	NA	NA	NA	NA	NA	"1584"	"65135"	"1584"	NA	NA	"1588"	"1588"	"34409"	"34409"	"34391"	"58872"	"67205"	NA	NA	NA	NA	NA	"58871"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"68"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"3"	"3"	"0"	"0"	"0"	"3"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"3"	"345"	"657"	"02/14/18 15:26:59"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"3"	"0"	"3"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-84.csv"	"4"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"6017"	"6017"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"84"	"even"	"legacy"	NA	NA	"75688"	NA	NA	NA	NA	NA	"1584"	"73352"	"1584"	NA	NA	"1588"	"1588"	"34409"	"34409"	"34391"	"67334"	"75688"	NA	NA	NA	NA	NA	"67333"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"69"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"4"	"4"	"0"	"0"	"0"	"4"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"4"	"96"	"685"	"02/14/18 15:26:59"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"4"	"0"	"4"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-84.csv"	"5"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"8851"	"8851"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"84"	"even"	"legacy"	NA	NA	"86911"	NA	NA	NA	NA	NA	"1584"	"84671"	"1584"	NA	NA	"1588"	"1588"	"34409"	"34409"	"34391"	"75819"	"86911"	NA	NA	NA	NA	NA	"75818"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
"70"	""	"undefined"	"undefined"	"undefined"	"undefined"	"white"	"no"	"xpyriment"	"legacy"	"legacy"	"0"	"no"	"relative"	"undefined"	"undefined"	"0"	"5"	"5"	"0"	"0"	"0"	"5"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"5"	"64"	"675"	"02/14/18 15:26:59"	"Executes Python code"	"yes"	""	"lineup_liveMEN_W.osexp"	"C:\Users\Laptop10\Desktop\Wednesday 1402"	"no"	"mono"	"no"	"24"	"no"	"black"	"no"	"Continue"	"yes"	"768"	"No"	"no"	"no"	"no"	"legacy"	"5"	"0"	"5"	"0"	"C:/Users/Laptop10/Desktop/Wednesday 1402/subject-84.csv"	"6"	"xpyriment"	"Jazzy James"	"3.1.4"	"0"	"1"	"1"	"9470"	"9470"	"2"	"legacy"	"1024"	"2"	"48000"	"-16"	"experiment"	"84"	"even"	"legacy"	NA	NA	"98891"	NA	NA	NA	NA	NA	"1584"	"96511"	"1584"	NA	NA	"1588"	"1588"	"34409"	"34409"	"34391"	"87041"	"98891"	NA	NA	NA	NA	NA	"87040"	"lineup1"	"0"	"0"	"0"	"no"	"no"	"1366"
